ObstacleID, Description    , Elevation at top of Obstacle (m), Easting NZTM, Northing NZTM, Latitude        , Longitude        , Date Surveyed, Source    , Surveyor
NZRO20000 , CELL-TOWER     ,                           316.68,   1889298.9 ,    5774502.43, 38 07 51.58165 S, 176 18 01.86909 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20001 , CELL-TOWER     ,                           298.57,   1891626.1 ,    5780124.68, 38 04 46.77597 S, 176 19 29.03688 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20002 , CELL-TOWER     ,                           314.56,   1888816.5 ,    5774296.9 , 38 07 58.79512 S, 176 17 42.38621 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20003 , CELL-TOWER     ,                           322.28,   1888633.44,    5774034.18, 38 08 07.51588 S, 176 17 35.26177 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20004 , CELL-TOWER     ,                           304.02,   1887234.65,    5773510.82, 38 08 26.07487 S, 176 16 38.65418 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20005 , CELL-TOWER     ,                           305.58,   1887208.34,    5773056.45, 38 08 40.82317 S, 176 16 38.23417 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20006 , CELL-TOWER     ,                           305.69,   1890925.09,    5776843.37, 38 06 33.87480 S, 176 19 05.12000 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20007 , CELL-TOWER     ,                           309.68,   1887642.52,    5773137.28, 38 08 37.70710 S, 176 16 55.92544 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO102   , FENCE          ,                           286.09,   1891173.41,    5777961.46, 38 05 57.37052 S, 176 19 13.65872 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO105   , FENCE          ,                           285.29,   1891138.46,    5777952.78, 38 05 57.69220 S, 176 19 12.23890 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20008 , FENCE          ,                           388.53,   1889090.96,    5772045.15, 38 09 11.41703 S, 176 17 56.92943 E, 2/07/2022    , LiDAR-2022, LINZ
NZRO20009 , FENCE          ,                           285.13,   1891070.85,    5777876.29, 38 06 00.24816 S, 176 19 09.57977 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20010 , FENCE          ,                           288.34,   1891343.28,    5777944.98, 38 05 57.70726 S, 176 19 20.64593 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20011 , FENCE          ,                           286.62,   1891271.24,    5777979.03, 38 05 56.68785 S, 176 19 17.64304 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20012 , FENCE          ,                           285.57,   1891109.42,    5777924.18, 38 05 58.65225 S, 176 19 11.09080 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20013 , FENCE          ,                           286   ,   1891205.9 ,    5777998.31, 38 05 56.13922 S, 176 19 14.93648 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20014 , FENCE          ,                           286.29,   1891238.82,    5777988.68, 38 05 56.41310 S, 176 19 16.30016 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO91    , FENCE          ,                           287.74,   1891278.46,    5777835.92, 38 06 01.31510 S, 176 19 18.14935 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO96    , FENCE          ,                           288.36,   1891340.89,    5777957.09, 38 05 57.31790 S, 176 19 20.53019 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20015 , FLOOD-LIGHT    ,                           296.65,   1890822.52,    5776788.95, 38 06 35.75646 S, 176 19 00.99480 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20016 , FLOOD-LIGHT    ,                           296.86,   1890841.25,    5776823.7 , 38 06 34.60906 S, 176 19 01.71177 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20017 , FLOOD-LIGHT    ,                           296.81,   1890852.58,    5776852.8 , 38 06 33.65338 S, 176 19 02.13362 E, 24/09/2024   , LiDAR-2024, blackmaps
NZRO20018 , FLOOD-LIGHT    ,                           296.71,   1890875.88,    5776893.1 , 38 06 32.32114 S, 176 19 03.02952 E, 24/09/2024   , LiDAR-2024, blackmaps
