Name,X  (NZGD2000),Y  (NZGD2000),Z,Type,Latitude  (WGS84),Longitude  (WGS84),,,Radius,Center X  (NZGD2000),Center Y  (NZGD2000),Center Latitude  (WGS84),Center Longitude  (WGS84),Attribute,Attribute,Attribute,Attribute,Attribute,Attribute,Attribute
RWY RWY-02/20,1843523.4847340,5682687.2332538,371.8560000,*,S38.9709611,E175.8109306,,,,,,,,385815.46S,1754839.35E,NZTN,,,,
THR RWY 20,1843905.4818071,5683159.0428353,370.6368000,*,S38.9666083,E175.8151667,,,,,,,,385759.79S,1754854.60E,NZTN,,,,
RWY RWY-02/20,1844064.4557739,5683352.2624160,370.0272000,*,S38.9648250,E175.8169306,,,,,,,,385753.37S,1754900.95E,NZTN,,,,
THR RWY 02,1843579.8498450,5682757.0932255,371.8560000,*,S38.9703167,E175.8115556,,,,,,,,385813.14S,1754841.60E,NZTN,,,,
RWY RWY-14/32 GR,2033451.7246659,5708616.2467893,4.2672000,*,S38.6649444,E177.9808944,,,,,,,,383953.80S,1775851.22E,NZGS,,,,
THR RWY 32G,2033407.3117790,5708816.3755990,3.9624000,*,S38.6631694,E177.9802611,,,,,,,,383947.41S,1775848.94E,NZGS,,,,
THR RWY 14G,2033285.6839078,5709349.6042025,3.3528000,*,S38.6584417,E177.9785361,,,,,,,,383930.39S,1775842.73E,NZGS,,,,
THR RWY 21,2033478.6026760,5709185.6382337,3.0480000,*,S38.6598194,E177.9808472,,,,,,,,383935.35S,1775851.05E,NZGS,,,,
RWY RWY-03/21,2033578.7489039,5709264.9626681,3.0480000,*,S38.6590583,E177.9819444,,,,,,,,383932.61S,1775855.00E,NZGS,,,,
THR RWY 03,2032659.2022298,5708535.5998399,3.3528000,*,S38.6660556,E177.9718694,,,,,,,,383957.80S,1775818.73E,NZGS,,,,
THR RWY 14,2032976.4416906,5709382.2058860,3.6576000,*,S38.6583000,E177.9749750,,,,,,,,383929.88S,1775829.91E,NZGS,,,,
THR RWY 32,2033261.4950624,5708098.4470555,4.5720000,*,S38.6696861,E177.9790389,,,,,,,,384010.87S,1775844.54E,NZGS,,,,
THR RWY 09,2032546.3732512,5709258.3055422,3.0480000,*,S38.6596222,E177.9701278,,,,,,,,383934.64S,1775812.46E,NZGS,,,,
RWY RWY-09/27,2033587.3354403,5708714.3693743,3.9624000,*,S38.6639972,E177.9823861,,,,,,,,383950.39S,1775856.59E,NZGS,,,,
THR RWY 27,2033467.9404694,5708775.9458406,3.9624000,*,S38.6635028,E177.9809806,,,,,,,,383948.61S,1775851.53E,NZGS,,,,
